word,emotion,pleasantness,attention,aptitude,sensitivity,sentiment,afinn_score,color,orientation,subjectivity
alienable,,-0.99,0.0,0.641,-0.76,negative,,,,
alienage,,0.753,0.0,0.0,0.877,positive,,,,
alienate,anger,-0.98,0.0,0.0,-0.97,negative,,,,weak
alienated,sadness,-0.1,0.176,0.629,-0.64,negative,,,,weak
alienating,,-0.98,0.0,0.0,-0.97,negative,,,,
alienation,anger,-0.33,0.0,0.0,0.0,negative,-2,green,,weak
alight,,-0.71,0.0,-0.76,0.0,positive,,,,
align,,0.917,0.0,0.902,0.0,positive,,,,
alignment,,0.0,0.0,-0.88,-0.75,negative,,yellow,,
aliment,,0.85,-0.78,0.0,0.727,positive,,,,
alimental,,0.656,-0.73,0.0,0.736,positive,,,,
alimentary,,0.656,-0.73,0.0,0.736,positive,,,,
alimentation,,0.656,-0.73,0.0,0.736,positive,,,,
alimony,,-0.87,0.0,0.524,-0.76,negative,,,,
alinda,,0.0,0.0,0.765,-0.72,positive,,,,
aline,,0.917,0.0,0.902,0.0,positive,,,,
alinement,,0.0,0.0,-0.88,-0.75,negative,,,,
aliquam,,-0.65,0.0,0.574,-0.83,negative,,,,
aliskiren,,-0.76,0.0,0.681,-0.57,negative,,,,
alita,,-0.53,0.0,0.637,-0.92,negative,,,,
alitame,,0.53,-0.64,0.0,0.934,positive,,,,
alive,anticipation,0.45,0.0,0.0,0.0,positive,1,,active,
aliweb,,-0.91,0.0,-0.87,0.0,negative,,,,
alizarin,,0.0,-0.02,0.042,-0.07,negative,,,,
all-around,,0.729,0.0,0.0,0.899,positive,,,,
all-cause,,-0.91,0.0,0.0,-0.71,negative,,,,
all-important,,0.0,0.0,0.934,0.763,positive,,,,
all-inclusive,,0.729,0.0,0.0,0.899,positive,,,,
all-metal,,0.044,-0.66,0.0,0.361,negative,,,,
all-out,,0.921,0.725,0.0,0.0,positive,,,,
all-powerful,,0.064,0.225,-0.09,0.232,positive,,,,
all-purpose,,0.0,0.0,-0.82,-0.99,negative,,,,
all-round,,0.729,0.0,0.0,0.899,positive,,,,
all-time,,0.816,-0.59,0.0,0.947,positive,,,,weak
allamah,,-0.86,0.0,0.743,-1.0,negative,,,,
allative,,-0.82,0.0,0.81,-0.61,negative,,,,
allay,,0.615,0.643,-0.24,0.29,positive,,,,strong
allayer,,0.02,0.0,0.0,0.066,positive,,,,
allegation,anger,-0.96,0.0,0.261,-0.95,negative,,,,strong
allegations,,0.0,0.0,0.0,-0.83,negative,,,,strong
allege,,-0.96,0.0,0.261,-0.95,negative,,,,weak
alleged,,0.835,-0.94,0.0,0.943,positive,,,,
allegedly,,-0.98,0.0,0.0,-0.97,negative,,,,
allegement,,-0.96,0.0,0.261,-0.95,negative,,,,
allegiance,trust,-0.98,0.0,0.0,-0.97,positive,,,,
allegience,,-0.1,0.176,0.629,-0.64,positive,,,,
allegoric,,0.19,0.203,-0.15,0.211,positive,,,,
allegorical,,0.0,0.0,-0.87,-0.73,negative,,,,
allegorically,,0.851,0.0,0.987,0.0,positive,,,,
allegorize,,,,,,,,,,strong
allegory,,0.0,0.0,-0.87,-0.73,negative,,,,
allegretto,,0.0,0.107,0.0,0.184,positive,,,,
allegro,,0.0,0.107,0.0,0.184,positive,,,,
allele,,-0.83,0.0,0.899,-0.6,negative,,,,
allergen,,-0.93,0.0,0.868,-0.73,negative,,,,
allergic,,-0.92,0.0,0.0,-0.79,negative,-2,,,weak
allergies,,,,,,negative,,,,
allergist,,-0.93,0.0,0.868,-0.73,negative,,,,
allergy,,-0.93,0.0,0.868,-0.73,negative,,,,
alleviant,,0.0,0.0,-0.89,-0.98,negative,,,,
alleviate,,0.676,-0.7,0.0,0.8,positive,,,active,weak
alleviation,,0.659,0.636,-0.24,0.306,positive,,,,
alleviative,,0.0,0.0,-0.89,-0.98,negative,,,,
alleviator,,0.0,0.0,-0.89,-0.98,negative,,,,
alley,,-0.62,0.0,0.958,-0.83,negative,,,,
alleyway,,0.0,0.0,0.033,-0.05,negative,,,,
allholy,,-0.06,0.183,0.651,-0.64,positive,,,,
alliance,trust,-0.98,0.0,0.0,-0.97,positive,,,,strong
alliances,,,,,,,,,,strong
allied,trust,,,,,positive,,,,
allies,,,,,,positive,,,,
alligator,,-0.86,0.0,0.683,-0.84,negative,,green,,
alliterate,,0.087,0.0,-0.05,0.078,positive,,,,
alliteration,,-0.84,0.0,0.574,-0.66,negative,,,,
alliterative,,0.087,0.0,-0.05,0.078,positive,,,,
allmouth,,0.068,-0.03,0.0,0.0,positive,,,,
allmovie,,-0.64,0.0,0.524,-0.59,negative,,,,
allocate,,0.733,0.0,0.0,0.894,positive,,,,
allocation,,0.0,0.161,0.0,0.149,positive,,,,
allocative,,0.928,-0.65,0.0,0.856,positive,,,,
allocentric,,-0.1,0.176,0.629,-0.64,positive,,,,
allodial,,-0.73,0.0,0.812,-0.52,negative,,,,
allodium,,-0.73,0.0,0.812,-0.52,negative,,,,
allodynia,,0.866,0.0,0.0,0.793,positive,,,,
allograft,,0.0,0.0,-0.74,-0.97,negative,,,,
allophone,,0.0,0.0,-0.77,-0.94,negative,,,,
allophonic,,0.0,0.0,0.736,0.858,positive,,,,
alloplastic,,0.838,-0.82,0.0,0.622,positive,,,,
allot,,0.0,0.0,-0.81,-0.86,negative,,,,
allotment,,0.0,0.161,0.0,0.149,positive,,,,
allotrope,,0.033,0.083,0.0,0.087,positive,,,,
allottee,,0.0,0.161,0.0,0.149,positive,,,,
allow,,,,,,positive,1,,passive,weak
allowable,,0.84,0.0,0.903,0.0,positive,,,,weak
allowably,,0.818,0.83,0.0,0.0,positive,,,,
allowance,,0.0,0.0,0.875,0.768,positive,,green,,
allowed,,0.9,0.0,0.0,0.9,positive,,green,,
allowing,,0.9,0.0,0.0,0.9,positive,,,,
alloy,,0.864,0.82,0.0,0.716,positive,,grey,,
alloyed,,-0.82,0.0,0.668,-0.87,negative,,,,
allspice,,0.906,0.788,0.0,0.0,positive,,,,
allstar,,0.9,0.0,0.0,0.9,positive,,,,
allude,,-0.71,0.0,0.495,-0.52,negative,,,,
allure,anticipation,0.0,0.0,-0.8,-0.92,positive,,,,strong
allurement,,0.772,-0.59,0.0,0.532,positive,,,,
alluring,,0.969,-0.84,0.0,0.837,positive,,,,strong
alluringly,,0.71,0.0,0.0,0.745,positive,,,,strong
allusion,,-0.52,0.0,0.71,-0.94,negative,,,,strong
allusions,,,,,,,,,,strong
allusive,,0.021,0.231,-0.06,0.242,positive,,,,
alluvial,,-0.97,0.0,0.0,-0.85,negative,,brown,,
alluvion,,0.0,-0.02,-0.08,-0.14,negative,,,,
ally,trust,0.866,-0.75,0.0,0.787,positive,,,,strong
allylamine,,0.932,-0.56,0.0,0.617,positive,,,,
allylic,,0.766,-0.87,0.0,0.666,positive,,,,
almighty,,0.064,0.225,-0.09,0.232,positive,,white,,strong
almond,,0.0,0.066,-0.05,0.089,positive,,,,
almoner,,0.893,0.0,0.0,0.761,positive,,,,
almshouse,,0.0,0.0,-0.86,-0.95,negative,,,,
aloft,,0.704,0.0,0.735,0.0,positive,,,,
aloha,anticipation,,,,,positive,,,,
alone,,-0.98,0.0,0.581,-0.56,negative,-2,,,
alone-time,,0.818,0.0,0.908,0.0,positive,,,,
aloneness,,-0.17,0.0,0.0,0.0,negative,,,,
alongshore,,0.704,0.0,0.922,0.0,positive,,,,
aloof,,-0.93,0.0,-0.86,0.0,negative,,white,passive,strong
aloofness,,-0.93,0.0,0.0,-0.72,negative,,,,
alopecia,,0.0,0.0,0.0,-0.45,negative,,,,
aloud,,0.7,0.0,0.0,0.987,positive,,purple,,
alowe,,-0.06,0.183,0.651,-0.64,positive,,,,
alpaca,,-0.53,0.0,0.751,-0.97,negative,,,,
alpenglow,,0.0,0.0,0.825,0.0,positive,,,,
alpha,,0.908,0.0,0.911,0.0,positive,,,,
alpinism,,0.079,0.07,0.013,0.0,positive,,,,
alprazolam,,-0.98,0.0,0.601,-0.69,negative,,,,
alprostadil,,-0.59,0.0,0.537,-0.57,negative,,,,
alqaeda,,-0.84,0.0,-0.71,0.0,negative,,,,
alright,,0.761,0.603,-0.21,0.333,positive,,,,
also-ran,,-0.78,0.0,0.937,-0.51,negative,,,,
alt,,0.819,0.819,0.0,0.0,positive,,,,
altar,,0.016,0.206,0.0,0.2,positive,,,,
altavista,,0.737,0.0,0.0,0.885,positive,,,,
altazimuth,,0.044,0.13,0.0,0.111,positive,,,,
altbier,,0.44,0.0,0.0,0.0,positive,,,,
alter,,-0.98,0.0,0.0,-0.97,negative,,grey,active,
alterability,,0.64,-0.95,0.0,0.639,positive,,,,
alterable,,0.623,-0.56,0.0,0.974,positive,,,,
alteration,,0.556,-0.52,0.0,0.898,positive,,,,
alterations,,-0.98,0.0,0.0,-0.97,negative,,,,
alterative,,-0.6,0.0,0.544,-0.62,negative,,,,
altercate,,0.0,0.0,-0.45,0.0,negative,,,,
altercation,anger,0.0,0.0,-0.45,0.0,negative,,,,weak
altered,,-0.98,0.0,0.0,-0.97,negative,,,,
alterity,,-0.92,0.0,-0.88,0.0,negative,,,,
alternaria,,-0.14,-0.05,0.0,-0.12,negative,,,,
alternata,,-0.6,0.0,0.636,-0.98,negative,,,,
alternate,,0.843,0.968,0.0,0.0,positive,,,active,
alternation,,-0.91,0.0,0.788,-0.88,negative,,,,
alternative,,0.0,0.0,0.736,0.858,positive,,,,
alternatively,,0.0,0.0,0.736,0.858,positive,,,,
althena,,0.703,-0.61,0.0,0.637,positive,,,,
although,,,,,,negative,,,,weak
altima,,-0.89,0.0,-0.92,-0.81,negative,,,,
altimeter,,0.023,0.113,0.053,0.153,positive,,,,
altissimo,,0.0,0.14,-0.04,0.165,positive,,,,
altitude,,0.023,0.113,0.053,0.153,positive,,,,
altmer,,0.0,0.0,0.0,0.82,positive,,,,
alto,,0.0,0.14,-0.04,0.165,positive,,,,
altogether,,,,,,,,,,strong
altruism,,0.78,0.0,0.787,0.0,positive,,,,
altruist,,0.762,0.0,0.0,0.733,positive,,,,strong
altruistic,,0.763,0.0,0.728,0.0,positive,,,,strong
altruistically,,0.763,0.0,0.0,0.734,positive,,,,strong
altschmerz,,0.0,0.0,-0.17,0.0,negative,,,,
alu,,-0.96,0.0,0.865,-0.75,negative,,,,
alula,,0.0,0.0,-0.17,0.0,negative,,,,
aluminum,,0.87,0.822,0.0,0.717,positive,,,,
alumni,,0.9,0.0,0.0,0.9,positive,,,,
alumnus,,0.577,-0.59,0.0,0.675,positive,,,,
alun,,0.099,-0.12,0.047,-0.03,negative,,,,
alunite,,-0.03,0.0,0.0,-0.08,negative,,,,
alveolus,,0.681,-0.63,0.0,0.647,positive,,,,
alzheimer,,-0.83,0.0,0.0,0.0,negative,,,,
amabel,,0.0,0.0,-0.98,-0.93,negative,,,,
amalekite,,0.521,-0.55,0.0,0.657,positive,,,,
amalgam,,,,,,,,grey,,
amalgamate,,0.72,0.0,0.746,0.0,positive,,,,
amalgamation,,0.72,0.0,0.746,0.0,positive,,,,
aman,,0.921,0.0,0.912,0.0,positive,,,,
amaretto,,0.0,0.162,0.0,0.142,positive,,,,
amarone,,0.45,0.0,0.0,0.0,positive,,,,
amateur,,-0.94,0.0,-0.93,0.0,negative,,,,
amateurish,,-0.86,0.0,-0.7,0.0,negative,,,,
amateurishly,,-0.98,0.0,0.0,-0.97,negative,,,,
amateurishness,,0.983,-0.63,0.0,0.697,positive,,,,
amative,,0.526,0.667,-0.27,0.265,positive,,,,
amatory,,0.514,0.672,-0.28,0.262,positive,,,,
amavasya,,0.997,-0.65,0.0,0.569,positive,,,,
amaze,surprise,0.0,-0.73,0.0,0.0,positive,2,purple,,strong
amazed,,0.845,0.0,0.858,0.0,positive,2,,,strong
amazement,,0.72,0.0,0.0,0.774,positive,,,,strong
amazes,,,,,,positive,2,,,
amaziah,,0.695,-0.62,0.0,0.63,positive,,,,
amazing,,1.0,0.0,0.0,0.912,positive,4,,,strong
amazingly,joy,,,,,positive,,white,,strong
amazonia,,0.0,-0.02,0.085,-0.09,negative,,,,
amazonite,,0.037,0.073,0.027,0.072,positive,,,,
ambassador,trust,,,,,positive,,,,
ambedo,,-0.17,0.0,0.0,0.0,negative,,,,
ambi,,0.989,-0.9,0.0,0.876,positive,,,,
ambiance,,0.0,0.0,0.99,0.0,positive,,,,
ambidexterity,,0.0,0.45,0.0,0.0,positive,,,,
ambidextrous,,0.0,0.0,-0.9,-0.99,negative,,,,
ambience,,0.708,-0.57,0.0,0.673,positive,,,,
ambient,,0.0,0.0,0.952,0.873,positive,,yellow,,
ambiguity,,-0.59,0.0,0.865,-0.7,negative,,,,strong
ambiguous,,-0.88,0.0,-0.84,0.0,negative,,grey,,strong
ambiguously,,-0.89,0.0,-0.85,0.0,negative,,,,
ambit,,0.546,-0.97,0.0,0.911,positive,,,,
ambition,anticipation,0.0,0.997,0.0,0.0,positive,,,,
ambitions,,-0.98,0.0,0.0,-0.97,negative,,,,
ambitious,,0.913,-0.83,0.0,0.739,positive,2,,active,weak
ambitiously,,0.913,-0.83,0.0,0.739,positive,,,,weak
ambivalence,,0.935,-0.87,0.0,0.618,negative,,,,strong
ambivalent,,-0.82,0.0,0.0,0.0,negative,-1,,,strong
ambiversion,,-0.64,0.0,0.574,-0.89,negative,,,,
amble,,-0.97,0.0,-0.92,0.0,negative,,,,
ambled,,-0.97,0.0,-0.92,0.0,negative,,,,
amblyomma,,-0.77,0.0,0.576,-0.92,negative,,,,
amblyopic,,0.769,0.0,0.0,0.896,positive,,,,
amblypygi,,0.0,-0.04,0.082,-0.07,negative,,,,
ambo,,0.022,0.206,0.0,0.208,positive,,,,
ambrosia,,-0.55,0.0,0.5,-0.55,negative,,,,
ambrosial,,0.0,0.0,0.825,0.0,positive,,,,
ambrosian,,0.0,0.0,0.825,0.0,positive,,,,
ambulance,fear,0.645,-0.64,0.0,0.622,positive,,red,,
ambulation,,-0.65,0.0,0.679,-0.62,negative,,,,
ambuscade,,0.0,0.0,-0.72,-0.78,negative,,,,
ambush,anger,0.02,0.162,0.0,0.062,negative,,,active,weak
ambystoma,,0.0,0.0,0.071,0.0,positive,,,,
amcinonide,,-0.59,0.0,0.537,-0.57,negative,,,,
ameba,,0.0,0.0,0.0,-0.09,negative,,,,
amelanistic,,-0.74,0.0,0.793,-0.62,negative,,,,
amelia,,-0.57,0.0,0.888,-0.88,negative,,,,
ameliorate,,0.526,-0.86,0.0,0.932,positive,,green,active,strong
amelioration,,0.552,-0.93,0.0,0.755,positive,,,,
ameliorative,,0.838,-0.82,0.0,0.622,positive,,,,
amen,joy,,,,,positive,,white,,
amenability,,0.0,0.328,0.0,0.0,positive,,,,
amenable,,0.933,-0.75,0.0,0.89,positive,,,,strong
amend,,-0.82,0.0,0.669,-0.55,positive,,,active,
amended,,-0.74,0.0,0.0,-0.95,negative,,,,
amendment,,-0.98,0.0,0.0,-0.97,negative,,,,
amends,,-0.75,0.0,0.805,-0.7,positive,,,,
amenity,,0.0,0.33,0.0,0.0,positive,,green,,weak
amercement,,0.0,0.0,-0.93,-0.98,negative,,,,
amerciable,,-0.19,0.14,-0.28,0.141,negative,,,,
amergin,,0.0,0.0,0.0,0.162,positive,,,,
americana,,0.0,0.283,-0.08,0.281,positive,,,,
americanism,,0.0,0.19,-0.06,0.093,positive,,,,
americanization,,-0.77,0.0,0.914,-0.5,negative,,,,
amethyst,,0.037,0.073,0.027,0.072,positive,,purple,,
amethystine,,0.037,0.073,0.027,0.072,positive,,,,
amiability,,0.961,0.0,0.789,0.0,positive,,,,strong
amiabily,,,,,,positive,,,,strong
amiable,,0.772,0.76,0.0,0.0,positive,,,,strong
amiably,,0.0,0.0,0.992,0.935,positive,,,,
amicability,,0.608,0.647,-0.26,0.325,positive,,,,strong
amicable,joy,0.608,0.647,-0.26,0.325,positive,,,,strong
amicableness,,0.608,0.647,-0.26,0.325,positive,,,,
amicably,,0.608,0.647,-0.26,0.325,positive,,,,strong
amid,,0.0,0.0,-0.72,-0.78,negative,,,,
amide,,0.849,0.0,0.0,0.983,positive,,,,
amidine,,0.737,-0.8,0.0,0.611,positive,,,,
amidinium,,-0.52,0.0,0.663,-0.6,negative,,,,
amidst,,0.0,0.0,-0.89,-0.85,negative,,,,
amiga,,-0.96,0.0,0.81,-0.98,negative,,,,
amiloride,,-0.59,0.0,0.537,-0.57,negative,,,,
amine,,-0.65,0.0,0.935,-0.96,negative,,,,
aminoaciduria,,-0.6,0.0,0.544,-0.53,negative,,,,
aminophylline,,-0.76,0.0,0.681,-0.57,negative,,,,
aminorex,,-0.84,0.0,0.698,-0.99,negative,,,,
amiss,,0.0,0.0,-0.89,-0.81,negative,,,,strong
amitabha,,0.854,-0.79,0.0,0.977,positive,,,,
amitiza,,-0.59,0.0,0.537,-0.57,negative,,,,
amittai,,0.521,-0.55,0.0,0.657,positive,,,,
amity,,0.605,0.647,-0.26,0.323,positive,,,,weak
amiyumi,,-0.5,0.0,0.762,-0.89,negative,,,,
amlodipine,,-0.76,0.0,0.681,-0.57,negative,,,,
amminadab,,0.779,-0.55,0.0,0.678,positive,,,,
ammo,,0.0,0.0,-0.82,-0.71,negative,,,,
ammonia,disgust,,,,,,,white,,
ammonification,,0.789,-0.92,0.0,0.964,positive,,,,
ammonium,,-0.9,0.0,0.0,-0.93,negative,,,,
ammophila,,0.824,-0.8,0.0,0.967,positive,,,,
ammoxidation,,-0.65,0.0,0.935,-0.96,negative,,,,
ammunition,,0.0,0.0,-0.82,-0.71,negative,,grey,,
amnesia,,0.0,0.0,0.782,-0.74,negative,,,,
amnesiac,,-0.98,0.0,0.0,-0.97,negative,,,,
amnesic,,0.0,0.0,0.919,-0.74,positive,,,,
amnestic,,-0.58,0.0,0.722,-0.51,negative,,,,
amnesty,joy,0.707,0.0,0.925,0.0,positive,,,,weak
amobarbital,,0.0,0.0,0.446,0.0,positive,,,,
amoeba,,0.0,0.0,0.0,-0.09,negative,,,,
amoebic,,0.0,0.0,0.0,-0.09,negative,,,,
amoeboid,,0.0,0.0,0.0,-0.09,negative,,,,
amoghasiddhi,,0.854,-0.79,0.0,0.977,positive,,,,
amok,,-0.98,0.0,0.0,-0.97,negative,,,,
amoral,,-0.54,0.0,0.858,-0.97,negative,,,,
amorality,,-0.9,0.0,0.0,-0.8,negative,,,,
amorino,,0.521,0.665,-0.27,0.268,positive,,,,
amorous,,0.52,0.664,-0.28,0.262,positive,,,,
amorousness,,0.521,0.665,-0.27,0.268,positive,,,,
amorphous,,-0.64,0.0,0.557,-0.73,negative,,,,
amorth,,-0.98,0.0,0.891,-0.6,negative,,,,
amortization,trust,,,,,,,,,
amortize,,-0.82,0.0,0.835,-0.67,negative,,,,
amou,,0.692,-0.99,0.0,0.614,positive,,,,
amouage,,0.0,0.0,0.0,0.17,positive,,,,
amount,,0.017,0.218,0.0,0.232,positive,,green,,
amounts,,0.9,0.0,0.0,0.8,positive,,,,
amour,anticipation,,,,,positive,,red,,strong
amouse,,0.849,-0.5,0.0,0.845,positive,,,,
amperage,,0.0,0.0,0.946,0.984,positive,,,,
ampere,,0.0,0.0,0.946,0.984,positive,,,,
amphetamine,,0.0,0.096,0.046,0.114,positive,,,,
amphetamines,disgust,,,,,negative,,,,
amphibian,,0.0,0.0,0.071,0.0,positive,,green,,
amphiesma,,-0.94,0.0,0.786,-0.89,negative,,,,
amphimallon,,0.0,-0.07,0.08,-0.08,negative,,,,
amphipod,,-0.69,0.0,0.766,-0.82,negative,,,,
amphiprion,,-0.54,0.0,0.829,-0.72,negative,,,,
amphisbaena,,-0.65,0.0,0.505,-0.91,negative,,,,
amphisbaenia,,-0.65,0.0,0.505,-0.91,negative,,,,
amphitheater,,0.0,0.0,0.828,0.985,positive,,,,
amphotericin,,0.562,-0.54,0.0,0.949,positive,,,,
ample,,0.0,0.0,0.998,0.95,positive,,,,weak
amplest,,0.527,-0.8,0.0,0.705,positive,,,,
amplif,,0.79,-0.63,0.0,0.675,positive,,,,
amplification,,0.9,0.0,0.0,0.773,positive,,,,
amplifier,,0.051,-0.03,0.0,0.0,positive,,,,
amplify,,0.836,0.0,0.93,0.0,positive,,,active,weak
amplitude,,0.023,0.096,0.021,0.175,positive,,,,
amply,,0.833,0.0,0.0,0.824,positive,,,,weak
ampoule,,0.619,-0.83,0.0,0.912,positive,,,,
ampulla,,0.619,-0.83,0.0,0.912,positive,,,,
ampullary,,0.619,-0.83,0.0,0.912,positive,,,,
amputate,,,,,,negative,,,active,weak
amputated,,-0.81,0.0,0.0,-0.74,negative,,,,
amputation,,-0.8,0.0,0.0,-0.73,negative,,,,
amsl,,0.819,0.819,0.0,0.0,positive,,,,
amuck,,-0.07,0.192,0.634,-0.63,positive,,,,
amulet,,0.0,0.0,0.0,0.825,positive,,,,
amurdad,,-0.87,0.0,0.919,-0.89,negative,,,,
amuse,joy,0.782,0.0,0.0,0.768,positive,3,,active,strong
amused,joy,,,,,positive,3,,,
amusement,joy,0.784,0.934,0.0,0.845,positive,3,,,strong
amusements,,,,,,positive,3,,,
amusing,joy,0.9,0.0,0.0,0.9,positive,,,,strong
amusingly,,0.713,0.848,0.0,0.0,positive,,,,strong
amusive,,0.791,0.934,0.0,0.85,positive,,,,
amwell,,0.0,0.0,-0.9,-0.99,negative,,,,
amygdala,,0.703,-0.94,0.0,0.883,positive,,,,
amyloid,,0.954,0.707,0.0,0.0,positive,,,,
amyloidal,,0.954,0.707,0.0,0.0,positive,,,,
amylum,,0.039,0.134,-0.06,0.057,positive,,,,
amyraldism,,-0.84,0.0,-0.74,0.0,negative,,,,
anabaptism,,-0.68,0.0,0.779,-0.82,negative,,,,
anachronic,,-0.98,0.0,-0.92,0.0,negative,,,,
anachronism,,-0.88,0.0,-0.76,0.0,negative,,,,
anachronistic,,-0.98,0.0,-0.92,0.0,negative,,,,
anaconda,disgust,,,,,negative,,,,
anacreontic,,-0.87,0.0,0.599,-0.71,negative,,,,
anaerobe,,0.0,0.0,0.0,-0.08,negative,,,,
anaesthetic,,,,,,,,grey,,
anaglyph,,0.902,0.0,0.0,0.856,positive,,,,
anakam,,0.0,0.884,0.0,0.0,positive,,,,
anal,,0.0,0.0,0.0,-0.08,negative,,,,
analgesic,,,,,,,,white,,
analogical,,0.534,-0.86,0.0,0.676,positive,,,,
analogically,,-0.71,0.0,0.711,0.0,negative,,,,
analogy,,-0.77,0.0,0.885,-0.73,negative,,,,
analphabetism,,-0.78,0.0,0.707,-0.86,negative,,,,
analysand,,0.685,-0.89,0.0,0.609,positive,,,,
analysis,,0.0,0.17,0.0,0.0,positive,,,active,
analyst,anticipation,,,,,positive,,white,,
analytic,,0.0,0.0,0.0,0.823,positive,,,active,
analytical,,0.0,0.0,0.0,0.823,positive,,,active,weak
analytically,,0.0,0.0,0.895,0.775,positive,,,,
analyticity,,0.946,-0.55,0.0,0.591,positive,,,,
analyzability,,0.854,-0.79,0.0,0.977,positive,,,,
analyze,,,,,,,,,active,
anamnesis,,0.685,-0.89,0.0,0.609,positive,,,,
anamorphic,,-0.79,0.0,-0.77,0.0,negative,,,,
anangu,,0.0,0.0,0.0,0.17,positive,,,,
anapana,,0.869,0.0,0.0,0.826,positive,,,,
anapest,,-0.83,0.0,0.0,0.0,negative,,,,
anapestic,,-0.83,0.0,0.0,0.0,negative,,,,
anaphoric,,0.904,-0.58,0.0,0.736,positive,,,,
anaphrodisiac,,0.949,-0.87,0.0,0.945,positive,,,,
anaphylactic,,0.0,-0.17,0.0,0.0,negative,,,,
anaplastic,,-0.58,0.0,0.814,-0.54,negative,,,,
anaplasty,,0.0,0.0,0.0,0.17,positive,,,,
anarchic,,-0.89,0.0,0.674,-0.62,negative,,,,
anarchical,,-0.89,0.0,0.678,-0.62,negative,,,,
anarchically,,-0.89,0.0,0.674,-0.62,negative,,,,
anarchism,anger,0.955,0.0,0.0,0.941,negative,,,,strong
anarchist,anger,-0.93,0.0,0.86,-0.9,negative,,,,strong
anarchistic,,-0.89,0.0,0.678,-0.62,negative,,,,strong
anarchy,anger,0.911,0.0,0.0,0.788,negative,,black,,strong
anasarca,,-0.13,0.134,0.621,-0.62,positive,,,,
anastomose,,-0.65,0.0,0.94,-0.87,negative,,,,
anat,,0.779,-0.55,0.0,0.678,positive,,,,
anathema,anger,-0.12,0.193,0.597,-0.62,negative,,black,,
anathematise,,-0.06,0.183,0.651,-0.64,positive,,,,
anathematize,,-0.06,0.183,0.651,-0.64,positive,,,,
anathemise,,0.0,-0.83,0.0,0.0,negative,,,,
anatman,,0.949,-0.55,0.0,0.595,positive,,,,
anatomia,,0.691,-0.52,0.0,0.818,positive,,,,
anatomic,,0.691,-0.52,0.0,0.818,positive,,,,
anatomical,,0.0,0.0,-0.9,-0.74,negative,,,,
anatomist,,-0.93,0.0,0.945,-0.9,negative,,,,
anatomy,,0.691,-0.52,0.0,0.818,positive,,,,
anatta,,-0.95,0.0,0.909,-0.97,negative,,,,
ancestor,,0.714,0.0,0.0,0.75,positive,,,,
ancestral,trust,-0.73,0.0,0.0,-0.99,negative,,,,
ancestry,,0.714,0.0,0.0,0.75,positive,,,,
ancholme,,0.648,0.618,-0.26,0.332,positive,,,,
anchor,,0.97,0.0,0.854,0.0,positive,,,,
anchorage,sadness,,,,,positive,,blue,,
anchorite,,-0.94,0.0,0.779,-0.85,negative,,,,
anchoritic,,-0.94,0.0,0.779,-0.85,negative,,,,
anchorman,,0.97,0.0,0.854,0.0,positive,,,,
anchorperson,,0.97,0.0,0.854,0.0,positive,,,,
anchovy,,-0.94,0.0,-0.75,0.0,negative,,,,
anchusa,,0.621,0.648,-0.25,0.296,positive,,,,
ancient,,-0.51,0.0,0.642,-0.62,negative,,grey,,
anciently,,-0.98,0.0,0.0,-0.97,negative,,,,
ancillary,,0.0,0.075,0.028,0.173,positive,,,,
andante,,-0.06,-0.05,0.029,-0.09,negative,,,,
andantino,,0.0,0.107,0.0,0.184,positive,,,,
androcentrism,,0.0,0.0,0.0,-0.83,negative,,,,
androgel,,0.932,-0.56,0.0,0.617,positive,,,,
androgen,,0.67,-0.55,0.0,0.986,positive,,,,
androgyne,,-0.9,0.0,0.965,-0.8,negative,,,,
androgyny,,0.984,-0.51,0.0,0.501,positive,,,,
android,,0.9,0.0,0.0,0.9,positive,,,,
andromachi,,-0.58,0.0,0.709,-0.99,negative,,,,
andsaid,,0.0,0.0,0.0,-0.33,negative,,,,
andyl,,-0.84,0.0,0.0,-0.82,negative,,,,
anecdotal,,-0.6,0.0,0.523,-0.95,negative,,,,
anecdote,,-0.04,-0.08,0.089,-0.14,negative,,,,
anecdotic,,-0.6,0.0,0.523,-0.95,negative,,,,
anecdotical,,-0.6,0.0,0.523,-0.95,negative,,,,
anechoic,,-0.89,0.0,-0.87,0.0,negative,,,,
anecic,,0.877,0.845,0.0,0.0,positive,,,,
anekantavada,,0.0,0.329,0.0,0.0,positive,,,,
anekntavda,,-0.95,0.0,0.909,-0.97,negative,,,,
anele,,0.0,0.0,0.0,0.882,positive,,,,
anemia,,0.576,-0.57,0.0,0.768,positive,,,,
anemic,,-0.83,0.0,0.955,-0.63,negative,,,,weak
anemoia,,-0.17,0.0,0.0,0.0,negative,,,,
anemone,,,,,,,,pink,,
anencephalic,,-0.45,0.0,0.0,0.0,negative,,,,
anencephaly,,-0.91,0.0,0.961,-0.55,negative,,,,
anesthetic,,-0.57,0.0,0.737,-0.85,negative,,,,
anesthetize,,0.63,-0.69,0.0,0.865,positive,,,,
anethole,,-0.68,0.0,0.858,-0.86,negative,,,,
aneuploidy,,0.855,-0.52,0.0,0.978,positive,,,,
aneurysm,,-0.92,0.0,0.783,-0.51,negative,,,,
aneurysmal,,-0.51,0.0,0.607,-0.76,negative,,,,
anew,,0.597,-0.97,0.0,0.862,positive,,white,,
